dataset,model,seed,perturbation_rate,n_instances,mean_pred_drift,frac_pred_preserving,frac_plausible,shap_rank_sim_mean,shap_attr_sim_mean,shap_sign_cons_mean,lime_rank_sim_mean,lime_attr_sim_mean,lime_sign_cons_mean
german,mlp,42,-0.1,50,0.04096332804916715,0.62,0.98,0.6186569736133548,0.78178974580165,0.996,0.48956144159791576,0.635511503922666,0.76075
german,mlp,42,-0.05,50,0.038123437020078914,0.66,0.98,0.6507226709746903,0.8017264024931137,1.0,0.4870212765957447,0.6584378684178557,0.772611111111111
german,mlp,42,0.05,50,0.055888363560825265,0.62,0.88,0.6550328486806677,0.8181984687391579,0.991,0.4798697351280938,0.5526697072354402,0.7260772357723577
german,mlp,42,0.1,50,0.058179997137824964,0.6,0.84,0.6459590737749058,0.8062357052833764,0.9938095238095238,0.5072405557967867,0.5220560862761584,0.7232323232323232
german,mlp,123,-0.1,50,0.0774053135062732,0.44,0.98,0.6730813139472267,0.9010238125600906,1.0,0.5231914893617021,0.6463750965800039,0.7573397435897437
german,mlp,123,-0.05,50,0.07215831664281182,0.5,0.98,0.687553042541734,0.9075359932205916,1.0,0.5727355623100303,0.7088076933852934,0.7914245014245015
german,mlp,123,0.05,50,0.07650080995026097,0.54,0.88,0.7223144857296715,0.9137509959758922,0.9971428571428571,0.5763764654798089,0.7267396197952691,0.7912393162393162
german,mlp,123,0.1,50,0.08304800269234153,0.52,0.84,0.7103715670436188,0.9135483876538137,1.0,0.5742574902301346,0.7484131331451666,0.7852205882352941
german,mlp,2024,-0.1,50,0.03798539056996256,0.74,0.98,0.7178750673128702,0.8992031464519495,1.0,0.5325835866261398,0.7261933406703841,0.821800527903469
german,mlp,2024,-0.05,50,0.03925237659872292,0.68,0.98,0.6956833602584814,0.8902856223164427,1.0,0.545308293530178,0.7254128531145929,0.8240318627450981
german,mlp,2024,0.05,50,0.053329514317600246,0.48,0.88,0.7155185783521809,0.8863738043287703,0.9977777777777778,0.5076052974381242,0.616286339389101,0.7777314814814815
german,mlp,2024,0.1,50,0.05475602569825923,0.48,0.84,0.6953979536887452,0.8675171742747453,0.9941666666666668,0.5222796352583586,0.6488437158598479,0.7681106612685561
german,random_forest,0,-0.1,50,0.03128576920793309,0.8,0.98,0.968046463659556,0.9785536404750854,0.957391304347826,0.5494398610508032,0.6763748480842089,0.7882738095238095
german,random_forest,0,-0.05,50,0.02454525944903863,0.88,0.98,0.9683938555067035,0.9840817277067719,0.9604347826086956,0.5974837168910118,0.7426217717576324,0.8156388888888888
german,random_forest,0,0.05,50,0.021361215180902438,0.94,0.88,0.9611420506974977,0.9883368307991929,0.9482608695652174,0.6098719062092922,0.7203090835996043,0.7862587412587412
german,random_forest,0,0.1,50,0.025035471196166906,0.92,0.84,0.9571318460619878,0.9854029867406716,0.9413043478260871,0.5952605297438125,0.7702227014881955,0.8072413793103448
german,random_forest,7,-0.1,50,0.027551920079202406,0.88,0.98,0.9658622374206156,0.9816287220977022,0.9543478260869566,0.5688428137212331,0.674293406979592,0.7674783549783549
german,random_forest,7,-0.05,50,0.022069386981252843,0.92,0.98,0.97080388644629,0.9867776980613752,0.957391304347826,0.5570104211897525,0.7257106490112608,0.7892001434720229
german,random_forest,7,0.05,50,0.021190022073051276,0.9,0.88,0.9585822070238289,0.9889836577641259,0.9326086956521739,0.6018497611810681,0.7425624531971927,0.7913636363636364
german,random_forest,7,0.1,50,0.02395785501260756,0.88,0.84,0.952702600010856,0.9861137973570198,0.9269565217391305,0.6114654798089448,0.7435709102626309,0.7885227272727273
german,random_forest,42,-0.1,50,0.0286703378213109,0.88,0.98,0.9673104271834121,0.9802413022887767,0.9504347826086956,0.5426812852800694,0.7252909884524478,0.7807738095238095
german,random_forest,42,-0.05,50,0.022177904575328925,0.92,0.98,0.9710296911469359,0.9860752972872051,0.9530434782608695,0.5453864524533217,0.7508569263857168,0.7949941471571907
german,random_forest,42,0.05,50,0.02057768156776951,0.92,0.88,0.9605015469793193,0.9889991630341557,0.9382608695652174,0.5694072948328267,0.7284517908268766,0.7833760683760684
german,random_forest,42,0.1,50,0.023008753766765446,0.92,0.84,0.9521011778754818,0.9863308901320448,0.9330434782608695,0.5666587060356058,0.7147846609144272,0.7833316464237516
german,random_forest,123,-0.1,50,0.03232145794466772,0.84,0.98,0.9735092004559519,0.9753062272504621,0.9543478260869566,0.5815132435953104,0.6521208994918601,0.7671564986737401
german,random_forest,123,-0.05,50,0.02637183833782363,0.86,0.98,0.9765988166965207,0.9805952950083536,0.961304347826087,0.5855188884064264,0.709050476958179,0.7851580459770114
german,random_forest,123,0.05,50,0.019207799605060534,0.92,0.88,0.9616283992835044,0.9889187909165813,0.9356521739130435,0.603727746417716,0.7476595267079746,0.786875
german,random_forest,123,0.1,50,0.02179105504907231,0.88,0.84,0.9573011995874723,0.9863460736190228,0.9360869565217391,0.5665696917064698,0.7744287145734652,0.7993217054263566
german,random_forest,2024,-0.1,50,0.02849684085202921,0.86,0.98,0.9653324648537155,0.9795765751447911,0.9543478260869566,0.5632891880156318,0.7039149830208333,0.7744871794871796
german,random_forest,2024,-0.05,50,0.021856981081530474,0.94,0.98,0.9699527764207784,0.9856776061759633,0.9586956521739132,0.570601389491967,0.671380220444774,0.7697348484848484
german,random_forest,2024,0.05,50,0.021503055817096123,0.9,0.88,0.9612028442707486,0.9894305351380436,0.9365217391304348,0.6343269648284846,0.7869945763774592,0.8009999999999999
german,random_forest,2024,0.1,50,0.02421143728833148,0.9,0.84,0.9532215165825327,0.9866900751708286,0.9343478260869565,0.5898567086409031,0.7408021214975048,0.7732883782883784
german,xgboost,0,-0.1,50,0.06885088005568832,0.6,0.98,0.9362405688541497,0.9497090727826115,0.9439130434782609,0.8212613981762918,0.8618546906740744,0.9330836236933798
german,xgboost,0,-0.05,50,0.06341153085464611,0.58,0.98,0.9513521142050698,0.9623980015370841,0.9547826086956522,0.8417585757707339,0.8970909743276931,0.9480002903600464
german,xgboost,0,0.05,50,0.10327200905885547,0.46,0.88,0.9258036150464095,0.9204646126854219,0.92,0.8158445505861919,0.812532928619375,0.882920064134659
german,xgboost,0,0.1,50,0.11112641255836934,0.48,0.84,0.9134755468707594,0.8823881135263082,0.9104347826086956,0.8001975683890578,0.8074228943980009,0.8757421630094043
